Product,Flavor,13.6 Oz,13.6 Oz_offer_price,13.6 Oz_recommended_price,Grain_Free,Ingredients,URL,Rating,Reviews,2.5 Lb,2.5 Lb_offer_price,2.5 Lb_recommended_price,Life_Stage,30 Lb,30 Lb_offer_price,30 Lb_recommended_price,22 Lb,22 Lb_offer_price,22 Lb_recommended_price,13.4 Oz,13.4 Oz_offer_price,13.4 Oz_recommended_price,26.4 Lb,26.4 Lb_offer_price,26.4 Lb_recommended_price,3 Oz,3 Oz_offer_price,3 Oz_recommended_price,7.7 Lb,7.7 Lb_offer_price,7.7 Lb_recommended_price,3 Lb,3 Lb_offer_price,3 Lb_recommended_price,17.6 Lb,17.6 Lb_offer_price,17.6 Lb_recommended_price,25.3 Lb,25.3 Lb_offer_price,25.3 Lb_recommended_price,6.6 Lb,6.6 Lb_offer_price,6.6 Lb_recommended_price,8.8 Lb,8.8 Lb_offer_price,8.8 Lb_recommended_price,13.5 Oz,13.5 Oz_offer_price,13.5 Oz_recommended_price,35 Lb,35 Lb_offer_price,35 Lb_recommended_price,18 Lb,18 Lb_offer_price,18 Lb_recommended_price,28.6 Lb,28.6 Lb_offer_price,28.6 Lb_recommended_price,14 Oz,14 Oz_offer_price,14 Oz_recommended_price,10 Lb,10 Lb_offer_price,10 Lb_recommended_price,17 Lb,17 Lb_offer_price,17 Lb_recommended_price,5.1 Oz,5.1 Oz_offer_price,5.1 Oz_recommended_price,6 Lb,6 Lb_offer_price,6 Lb_recommended_price,2 Lb,2 Lb_offer_price,2 Lb_recommended_price,3.5 Lb,3.5 Lb_offer_price,3.5 Lb_recommended_price,16.5 Lb,16.5 Lb_offer_price,16.5 Lb_recommended_price
Royal Canin Poodle Puppy Breed Specific Dry Dog Food,Other,,,,No,"Chicken By-Product Meal, Brewers Rice, Wheat Gluten, Chicken Fat, Corn, Corn Gluten Meal, Wheat, Natural Flavors, Dried Plain Beet Pulp, Fish Oil, Monocalcium Phosphate, Vegetable Oil, Sodium Silico Aluminate, Calcium Sulfate, Potassium Chloride, Psyllium Seed Husk, Calcium Carbonate, Salt, Fructooligosaccharides, Sodium Tripolyphosphate, Vitamins [DL-Alpha Tocopherol Acetate (Source Of Vitamin E), Niacin Supplement, L-Ascorbyl-2-Polyphosphate (Source Of Vitamin C), D-Calcium Pantothenate, Biotin, Pyridoxine Hydrochloride (Vitamin B6), Riboflavin Supplement, Thiamine Mononitrate (Vitamin B1), Vitamin A Acetate, Folic Acid, Vitamin B12 Supplement, Vitamin D3 Supplement], Hydrolyzed Yeast (Source Of Betaglucans), DL-Methionine, L-Lysine, Choline Chloride, Taurine, Cystine, Trace Minerals [Zinc Proteinate, Zinc Oxide, Manganese Proteinate, Ferrous Sulfate, Manganous Oxide, Copper Sulfate, Calcium Iodate, Sodium Selenite, Copper Proteinate], Marigold Extract (Tagetes Erecta L.), Yucca Schidigera Extract, L-Carnitine, Carotene, Rosemary Extract, Preserved With Mixed Tocopherols And Citric Acid","https://www.petsmart.com/dw/shop/v18_8/products/5211538?client_id=11d422c1-e017-4692-8ade-c0d36191da29&expand=prices,variations,availability,promotions,options",4.7381,42,24.99,24.99,25.99,Puppy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Canin Veterinary Diet Adult Ultamino Dry Dog Food,N/A,,,,N/A,"Corn Starch, Hydrolyzed Poultry By-Products Aggregate, Coconut Oil, Soybean Oil, Natural Flavors, Potassium Phosphate, Powdered Cellulose, Calcium Carbonate, Sodium Silico Aluminate Chicory, L-Tyrosine, Fructooligosaccharides, Fish Oil, L-Lysine, Choline Chloride, Taurine, L-Tryptophan, Vitamins (DL-Alpha Tocopherol (Source Of Vitamin E), Inositol, Niacin Supplement, L-Ascorbyl-2-Polyphosphate (Source Of Vitamin C), D-Calcium Pantothenate, Biotin, Pyridoxine Hydrochloride (Vitamin B6), Riboflavin Supplement, Thiamine Mononitrate (Vitamin B), Viamin A Acetate, Folic Acid, Vitamin B12 Supplement, Vitamin D3 Supplement), DL-Mehtionine, Marigold Extrct (Tagetes Erecta L0, Histidine, Trace Minerals (Zinc Proteinatem Zinc Oxide, Ferrous Sulfate, Manganese Proteinate, Copper Proteinate, Copper Sulfate, Manganous Oxide, Calcium Iodate, Sodium Selenite), Rosemary Extract, Preserved With Mixed Tocopherols And Citric Acid","https://www.petsmart.com/dw/shop/v18_8/products/5238754?client_id=11d422c1-e017-4692-8ade-c0d36191da29&expand=prices,variations,availability,promotions,options",4.7593,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.99,68.99,68.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Canin Large Puppy Dry Dog Food,Chicken & Rice,,,,No,"Corn, Chicken By-Product Meal, Wheat, Wheat Gluten, Chicken Fat, Brewers Rice, Corn Gluten Meal, Natural Flavors, Brewers Rice Flour, Dried Plain Beet Pulp, Monocalcium Phosphate, Sodium Silico Aluminate, Vegetable Oil, Fish Oil, Salt, Psyllium Seed Husk, Calcium Carbonate, Potassium Chloride, Fructooligosaccharides, Hydrolyzed Yeast (Source Of Betaglucans), Yucca Schidigera Extract, DL-Methionine, Taurine, Vitamins [DL-Alpha Tocopherol Acetate (Source Of Vitamin E), L-Ascorbyl-2-Polyphosphate (Source Of Vitamin C), Biotin, D-Calcium Pantothenate, Vitamin A Acetate, Niacin Supplement, Pyridoxine Hydrochloride (Vitamin B6), Thiamine Mononitrate (Vitamin B1), Vitamin B12 Supplement, Riboflavin Supplement, Vitamin D3 Supplement, Folic Acid], Choline Chloride, Trace Minerals [Zinc Proteinate, Zinc Oxide, Manganese Proteinate, Ferrous Sulfate, Manganous Oxide, Copper Sulfate, Calcium Iodate, Sodium Selenite, Copper Proteinate], Glucosamine Hydrochloride, Marigold Extract (Tagetes Erecta L.), L-Lysine, Carotene, Chondroitin Sulfate, Rosemary Extract, Preserved With Mixed Tocopherols And Citric Acid","https://www.petsmart.com/dw/shop/v18_8/products/5199269?client_id=11d422c1-e017-4692-8ade-c0d36191da29&expand=prices,variations,availability,promotions,options",4.875,144,,,,Puppy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.99,92.99,95.99,61.99,92.99,95.99,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Canin Veterinary Diet Adult Urinary SO Moderate Calorie Dry Dog Food,Other,,,,N/A,"Corn, Brewers Rice, Brown Rice, Chicken By-Product Meal, Corn Gluten Meal, Powdered Cellulose, Chicken Fat, Dried Chicory Root, Natural Flavors, Salt, Wheat Gluten, Vegetable Oil, Potassium Chloride, Calcium Sulfate, Fish Oil, Monocalcium Phosphate, DL-Methionine, Fructooligosaccharides, L-Lysine, Choline Chloride, Taurine, Vitamins [DL-Alpha Tocopherol Acetate (Source Of Vitamin E), Biotin, D-Calcium Pantothenate, Vitamin A Acetate, Niacin Supplement, Pyridoxine Hydrochloride (Vitamin B6), Thiamine Mononitrate (Vitamin B1), Vitamin B12 Supplement, Riboflavin Supplement, Vitamin D3 Supplement, Folic Acid], Trace Minerals [Zinc Oxide, Ferrous Sulfate, Manganous Oxide, Copper Sulfate, Sodium Selenite, Calcium Iodate], Marigold Extract (Tagetes Erecta L.), L-Carnitine, Rosemary Extract, Preserved With Mixed Tocopherols And Citric Acid","https://www.petsmart.com/dw/shop/v18_8/products/5169133?client_id=11d422c1-e017-4692-8ade-c0d36191da29&expand=prices,variations,availability,promotions,options",4.7767,533,,,,,,,,,,,,,,,,,,,,,,,,,,90.99,90.99,90.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Canin Veterinary Diet Adult Gastrointestinal Low Fat Dry Dog Food,N/A,,,,N/A,"Crude Protein (min.) 20.0%      Crude Fat (min.) 5.5%      Crude Fat (max.) 8.5%      Crude Fiber (max.) 3.9%      Moisture (max.) 10.0%      Eicosapentaenoic + Docosahexaenoic acid (EPA + DHA) (min.) 0.09%      Potassium (min.) 0.6%      Sodium (min.) 0.25%      Vitamin E (min.) 315 IU/kg      Ascorbic acid* (min.) 240 mg/kg      
*Not recognized as an essential nutrient by the AAFCO Dog Food Nutrient Profiles.","https://www.petsmart.com/dw/shop/v18_8/products/5274076?client_id=11d422c1-e017-4692-8ade-c0d36191da29&expand=prices,variations,availability,promotions,options",4.7481,643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.99,119.99,119.99,,,,,,,,,,,,,,,,,,,,,,,,
"Royal Canin Veterinary Diet Adult Gastrointestinal Loaf Canned Dog Food, 13.5 oz",Other,,,,N/A,Crude Protein (min.) 7.3%  Crude Fat (min.) 4.5%  Crude Fiber (max.) 2.7%  Moisture (max.) 75.7%  Eicosapentaenoic + Docosahexaenoic acid (EPA + DHA) (min.)0.08%  Vitamin E (min.) 95 IU/kg  Ascorbic acid* (min.) 99 mg/kg  *Not recognized as an essential nutrient by the AAFCO Dog Food Nutrient Profiles.,"https://www.petsmart.com/dw/shop/v18_8/products/5130814?client_id=11d422c1-e017-4692-8ade-c0d36191da29&expand=prices,variations,availability,promotions,options",4.624,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.39,4.39,4.39,,,,,,,,,,,,,,,,,,,,,
Royal Canin Dachshund Puppy Breed Specific Dry Dog Food,Other,,,,No,"Chicken By-Product Meal, Brown Rice, Brewers Rice, Corn, Wheat Gluten, Chicken Fat, Dried Plain Beet Pulp, Natural Flavors, Vegetable Oil, Fish Oil, Sodium Silico Aluminate, Potassium Chloride, Calcium Carbonate, Monocalcium Phosphate, Fructooligosaccharides, Sodium Tripolyphosphate, Vitamins [DL-Alpha Tocopherol Acetate (Source Of Vitamin E), Niacin Supplement, L-Ascorbyl-2-Polyphosphate (Source Of Vitamin C), D-Calcium Pantothenate, Biotin, Pyridoxine Hydrochloride (Vitamin B6), Riboflavin Supplement, Thiamine Mononitrate (Vitamin B1), Vitamin A Acetate, Folic Acid, Vitamin B12 Supplement, Vitamin D3 Supplement], Hydrolyzed Yeast (Source Of Betaglucans), Salt, Choline Chloride, Marigold Extract (Tagetes Erecta L.), DL-Methionine, L-Lysine, Trace Minerals [Zinc Proteinate, Zinc Oxide, Manganese Proteinate, Ferrous Sulfate, Manganous Oxide, Copper Sulfate, Calcium Iodate, Sodium Selenite, Copper Proteinate], Taurine, Glucosamine Hydrochloride, Yucca Schidigera Extract, L-Carnitine, Chondroitin Sulfate, Carotene, Rosemary Extract, Preserved With Mixed Tocopherols And Citric Acid","https://www.petsmart.com/dw/shop/v18_8/products/5211539?client_id=11d422c1-e017-4692-8ade-c0d36191da29&expand=prices,variations,availability,promotions,options",4.6364,55,24.99,24.99,25.99,Puppy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Canin® Breed Health Nutrition Rottweiler Dry Dog Food,N/A,,,,N/A,"Chicken By-Product Meal, Chicken Fat, Brown Rice, Corn, Brewers Rice, Wheat Gluten, Wheat, Corn Gluten Meal, Natural Flavors, Fish Oil, Dried Plain Beet Pulp, Vegetable Oil, Sodium Silico Aluminate, Powdered Cellulose, Calcium Carbonate, Potassium Chloride, L-Tyrosine, Vitamins [DL-Alpha Tocopherol Acetate (Source Of Vitamin E), Niacin Supplement, L-Ascorbyl-2-Polyphosphate (Source Of Vitamin C), D-Calcium Pantothenate, Biotin, Pyridoxine Hydrochloride (Vitamin B6), Riboflavin Supplement, Thiamine Mononitrate (Vitamin B1), Vitamin A Acetate, Folic Acid, Vitamin B12 Supplement, Vitamin D3 Supplement], Sodium Tripolyphosphate, Potassium Citrate, Hydrolyzed Yeast, Choline Chloride, Taurine, Glucosamine Hydrochloride, Salt, L-Carnitine, DL-Methionine, Trace Minerals [Zinc Proteinate, Zinc Oxide, Manganese Proteinate, Ferrous Sulfate, Manganous Oxide, Copper Sulfate, Calcium Iodate, Sodium Selenite, Copper Proteinate], Marigold Extract (Tagetes Erecta L.), L-Lysine, Magnesium Oxide, Green Tea Extract, Chondroitin Sulfate, Rosemary Extract, Preserved With Mixed Tocopherols And Citric Acid","https://www.petsmart.com/dw/shop/v18_8/products/5336242?client_id=11d422c1-e017-4692-8ade-c0d36191da29&expand=prices,variations,availability,promotions,options",4.8235,34,,,,Adult,104.99,N/A,104.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Canin Pug Puppy Breed Specific Dry Dog Food,Other,,,,No,,"https://www.petsmart.com/dw/shop/v18_8/products/5211541?client_id=11d422c1-e017-4692-8ade-c0d36191da29&expand=prices,variations,availability,promotions,options",4.8276,58,24.99,24.99,25.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Canin Veterinary Diet Satiety Support Small Breed Adult Dry Dog Food,Other,,,,N/A,"Chicken By-Product Meal, Pea Fiber, Powdered Cellulose, Wheat Gluten, Tapioca, Wheat, Dried Chicory Root, Corn Gluten Meal, Corn, Natural Flavors, Chicken Fat, Psyllium Seed Husk, Fish Oil, Salt, Potassium Chloride, Fructooligosaccharides, Sodium Tripolyphosphate, Calcium Carbonate, Choline Chloride, Vitamins [DL-Alpha Tocopherol Acetate (Source Of Vitamin E), L-Ascorbyl-2-Polyphosphate (Source Of Vitamin C), Niacin Supplement, Biotin, Riboflavin Supplement, D-Calcium Pantothenate, Pyridoxine Hydrochloride (Vitamin B6), Thiamine Mononitrate (Vitamin B1), Vitamin A Acetate, Vitamin B12 Supplement, Folic Acid, Vitamin D3 Supplement], DL-Methionine, Taurine, N-Butyric Acid, Marigold Extract (Tagetes Erecta L.), Glucosamine Hydrochloride, L-Lysine, Trace Minerals [Zinc Proteinate, Zinc Oxide, Manganese Proteinate, Ferrous Sulfate, Manganous Oxide, Copper Sulfate, Calcium Iodate, Sodium Selenite, Copper Proteinate], Magnesium Oxide, L-Carnitine, Chondroitin Sulfate, Rosemary Extract, Preserved With Mixed Tocopherols And Citric Acid","https://www.petsmart.com/dw/shop/v18_8/products/5237023?client_id=11d422c1-e017-4692-8ade-c0d36191da29&expand=prices,variations,availability,promotions,options",4.8607,122,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.99,41.99,41.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Canin Veterinary Diet Adult Renal Support S Dry Dog Food,Other,,,,N/A,"Brewers Rice, Corn, Chicken Fat, Brown Rice, Natural Flavors, Chicken By-Product Meal, Dried Plain Beet Pulp, Wheat Gluten, Fish Oil, Calcium Carbonate, Potassium Chloride, Powdered Psyllium Seed Husk, Sodium Silico Aluminate, DL-Methionine, Salt, L-Lysine, Fructooligosaccharides, Choline Chloride, Taurine, Potassium Citrate, Vitamins [DL-Alpha Tocopherol Acetate (Source Of Vitamin E), L-Ascorbyl-2-Polyphosphate (Source Of Vitamin C), Biotin, D-Calcium Pantothenate, Vitamin A Acetate, Niacin Supplement, Pyridoxine Hydrochloride (Vitamin B6), Thiamine Mononitrate (Vitamin B1), Vitamin B12 Supplement, Riboflavin Supplement, Vitamin D3 Supplement, Folic Acid], Magnesium Oxide, L-Tryptophan, Marigold Extract (Tagetes Erecta L.), Trace Minerals [Zinc Oxide, Ferrous Sulfate, Manganous Oxide, Copper Sulfate, Sodium Selenite, Calcium Iodate], Rosemary Extract, Preserved With Mixed Tocopherols And Citric Acid","https://www.petsmart.com/dw/shop/v18_8/products/5237018?client_id=11d422c1-e017-4692-8ade-c0d36191da29&expand=prices,variations,availability,promotions,options",4.6909,55,,,,Adult,,,,,,,,,,,,,,,,,,,,,,84.99,84.99,84.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Canin® Breed Health Nutrition Jack Russell Terrier Dry Dog Food,N/A,,,,N/A,"Brewers Rice, Chicken By-Product Meal, Wheat Gluten, Wheat, Corn, Chicken Fat, Natural Flavors, Dried Plain Beet Pulp, Corn Gluten Meal, Fish Oil, Grain Distillers Dried Yeast, Vegetable Oil, Sodium Silico Aluminate, Calcium Carbonate, Potassium Chloride, Vitamins [DL-Alpha Tocopherol Acetate (Source Of Vitamin E), Niacin Supplement, L-Ascorbyl-2-Polyphosphate (Source Of Vitamin C), D-Calcium Pantothenate, Biotin, Pyridoxine Hydrochloride (Vitamin B6), Riboflavin Supplement, Thiamine Mononitrate (Vitamin B1), Vitamin A Acetate, Folic Acid, Vitamin B12 Supplement, Vitamin D3 Supplement], Salt, Fructooligosaccharides, Sodium Tripolyphosphate, Hydrolyzed Yeast, Choline Chloride, L-Lysine, DL-Methionine, Taurine, Magnesium Oxide, Trace Minerals [Zinc Proteinate, Zinc Oxide, Ferrous Sulfate, Manganese Proteinate, Manganous Oxide, Copper Sulfate, Calcium Iodate, Sodium Selenite, Copper Proteinate], Marigold Extract (Tagetes Erecta L.), Glucosamine Hydrochloride, L-Carnitine, Green Tea Extract, Chondroitin Sulfate, Rosemary Extract, Preserved With Mixed Tocopherols And Citric Acid","https://www.petsmart.com/dw/shop/v18_8/products/5336261?client_id=11d422c1-e017-4692-8ade-c0d36191da29&expand=prices,variations,availability,promotions,options",4.76,75,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.99,N/A,56.99,,,,,,,,,,,,,,,,,,
Royal Canin Veterinary Diet Adult Hydrolyzed Protein PS Dry Dog Food,N/A,,,,N/A,,"https://www.petsmart.com/dw/shop/v18_8/products/5192766?client_id=11d422c1-e017-4692-8ade-c0d36191da29&expand=prices,variations,availability,promotions,options",4.8016,126,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.99,57.99,57.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Canin® Digestive Care Medium Breed Dry Dog Food,N/A,,,,N/A,"Chicken By-Product Meal, Corn, Brewers Rice, Chicken Fat, Brown Rice, Corn Gluten Meal, Brewers Rice Flour, Natural Flavors, Dried Plain Beet Pulp, Fish Oil, Vegetable Oil, Pea Fiber, Sodium Silico Aluminate, Potassium Chloride, Calcium Carbonate, Salt, Fructooligosaccharides, Choline Chloride, Hydrolyzed Yeast, Taurine, Vitamins [DL-Alpha Tocopherol Acetate (Source Of Vitamin E), L-Ascorbyl-2-Polyphosphate (Source Of Vitamin C), Biotin, D-Calcium Pantothenate, Vitamin A Acetate, Pyridoxine Hydrochloride (Vitamin B6), Niacin Supplement, Folic Acid, Thiamine Mononitrate (Vitamin B1), Vitamin B12 Supplement, Riboflavin Supplement, Vitamin D3 Supplement], Trace Minerals [Zinc Proteinate, Manganese Proteinate, Zinc Oxide, Ferrous Sulfate, Manganous Oxide, Copper Sulfate, Calcium Iodate, Sodium Selenite, Copper Proteinate], DL-Methionine, GLA Safflower Oil, Marigold Extract (Tagetes Erecta L.), Magnesium Oxide, Rosemary Extract, Preserved With Mixed Tocopherols And Citric Acid","https://www.petsmart.com/dw/shop/v18_8/products/5336256?client_id=11d422c1-e017-4692-8ade-c0d36191da29&expand=prices,variations,availability,promotions,options",4.6957,23,,,,Adult,99.99,N/A,69.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.99,N/A,69.99,,,,,,,,,,,,,,,
Royal Canin® Digestive Care Large Breed Dry Dog Food,N/A,,,,N/A,"Chicken By-Product Meal, Brewers Rice, Brown Rice, Corn Gluten Meal, Chicken Fat, Natural Flavors, Brewers Rice Flour, Dried Plain Beet Pulp, Fish Oil, Wheat Gluten, Pea Fiber, Sodium Silico Aluminate, Vegetable Oil, Potassium Chloride, Calcium Carbonate, Salt, Psyllium Seed Husk, Hydrolyzed Yeast, Choline Chloride, Taurine, L-Lysine, Glucosamine Hydrochloride, Vitamins [DL-Alpha Tocopherol Acetate (Source Of Vitamin E), L-Ascorbyl-2-Polyphosphate (Source Of Vitamin C), Biotin, D-Calcium Pantothenate, Pyridoxine Hydrochloride (Vitamin B6), Vitamin A Acetate, Niacin Supplement, Thiamine Mononitrate (Vitamin B1), Vitamin B12 Supplement, Riboflavin Supplement, Folic Acid, Vitamin D3 Supplement], Trace Minerals [Zinc Proteinate, Zinc Oxide, Ferrous Sulfate, Manganese Proteinate, Manganous Oxide, Copper Sulfate, Calcium Iodate, Sodium Selenite, Copper Proteinate], Chondroitin Sulfate, L-Carnitine, Rosemary Extract, Preserved With Mixed Tocopherols And Citric Acid","https://www.petsmart.com/dw/shop/v18_8/products/5336255?client_id=11d422c1-e017-4692-8ade-c0d36191da29&expand=prices,variations,availability,promotions,options",4.5667,30,,,,Adult,99.99,N/A,99.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Canin Veterinary Diet Adult Selected Protein PW Moderate Calorie Dry Dog Food,N/A,,,,N/A,Crude Protein (min) 22.5% Crude Fat (min) 7.5% Crude Fiber (max) 9.8% Moisture (max) 10.0% Omega 3 Fatty Acids* (min) 0.79% Eicosapentaenoic Acid (EPA)* (min) 0.23% Docosahexaenoic Acid (DHA)* (min) 0.1% *Not recognized as an essential nutrient by the AAFCO Dog Food Nutrient Profiles.,"https://www.petsmart.com/dw/shop/v18_8/products/5258072?client_id=11d422c1-e017-4692-8ade-c0d36191da29&expand=prices,variations,availability,promotions,options",4.6739,46,,,,Adult,,,,,,,,,,,,,,,,58.99,58.99,58.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Royal Canin Medium Puppy Dry Dog Food, 17 lb bag",Other,,,,N/A,"Chicken By-Product Meal, Chicken Fat, Brewers Rice, Corn, Wheat, Corn Gluten Meal, Dried Plain Beet Pulp, Wheat Gluten, Natural Flavors, Brewers Rice Flour, Fish Oil, Monocalcium Phosphate, Vegetable Oil, Sodium Silico Aluminate, Potassium Chloride, Salt, Fructooligosaccharides, Hydrolyzed Yeast (Source Of Betaglucans), Yucca Schidigera Extract, DL-Methionine, Vitamins [DL-Alpha Tocopherol Acetate (Source Of Vitamin E), L-Ascorbyl-2-Polyphosphate (Source Of Vitamin C), Biotin, D-Calcium Pantothenate, Vitamin A Acetate, Niacin Supplement, Pyridoxine Hydrochloride (Vitamin B6), Thiamine Mononitrate (Vitamin B1), Vitamin B12 Supplement, Riboflavin Supplement, Vitamin D3 Supplement, Folic Acid], Taurine, Monosodium Phosphate, Choline Chloride, Trace Minerals [Zinc Proteinate, Zinc Oxide, Manganese Proteinate, Ferrous Sulfate, Manganous Oxide, Copper Sulfate, Calcium Iodate, Sodium Selenite, Copper Proteinate], L-Lysine, Marigold Extract (Tagetes Erecta L.), Carotene, Rosemary Extract, Preserved With Mixed Tocopherols And Citric Acid","https://www.petsmart.com/dw/shop/v18_8/products/5200260?client_id=11d422c1-e017-4692-8ade-c0d36191da29&expand=prices,variations,availability,promotions,options",4.7769,121,,,,Puppy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.99,61.99,61.99,,,,,,,,,,,,,,,
Royal Canin Indoor Small Puppy Dry Dog Food,N/A,,,,No,,"https://www.petsmart.com/dw/shop/v18_8/products/5230991?client_id=11d422c1-e017-4692-8ade-c0d36191da29&expand=prices,variations,availability,promotions,options",4.8387,31,19.99,19.99,19.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Canin Veterinary Diet Adult Selected Protein PD Dry Dog Food,Other,,,,N/A,"Potato, Duck By-Product Meal, Coconut Oil, Potato Protein, Hydrolyzed Soy Protein, Natural Flavors, Vegetable Oil, Fish Oil, Monocalcium Phosphate, Choline Chloride, DL-Methionine, Calcium Carbonate, Salt, Vitamins [DL-Alpha Tocopherol Acetate (Source Of Vitamin E), L-Ascorbyl-2-Polyphosphate (Source Of Vitamin C), Biotin, D-Calcium Pantothenate, Vitamin A Acetate, Pyridoxine Hydrochloride (Vitamin B6), Niacin Supplement, Folic Acid, Thiamine Mononitrate (Vitamin B1), Vitamin B12 Supplement, Riboflavin Supplement, Vitamin D3 Supplement], Potassium Chloride, Trace Minerals [Zinc Proteinate, Zinc Oxide, Ferrous Sulfate, Manganese Proteinate, Manganous Oxide, Copper Sulfate, Sodium Selenite, Calcium Iodate, Copper Proteinate], Taurine, L-Lysine, Rosemary Extract, Preserved With Mixed Tocopherols And Citric Acid","https://www.petsmart.com/dw/shop/v18_8/products/5162817?client_id=11d422c1-e017-4692-8ade-c0d36191da29&expand=prices,variations,availability,promotions,options",4.8646,96,,,,Adult,,,,,,,,,,,,,,,,,,,,,,107.99,107.99,107.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Canin Veterinary Diet Puppy Gastrointestinal Ultra Soft Mousse in Sauce Canned Dog Food,N/A,,,,N/A,"Water Sufficient For Processing, Chicken By-Products, Pork By-Products, Chicken, Chicken Liver, Brewers Rice Flour, Gelatin, Powdered Cellulose, Hydrolyzed Poultry By-Products Aggregate, Casein, Fish Oil, Sodium Tripolyphosphate, Pork Plasma, Calcium Carbonate, Carrageenan, Sodium Silico Aluminate, Hydrolyzed Yeast (Source Of Betaglucans), Natural Flavors, Guar Gum, Taurine, Potassium Chloride, Vitamins [L-Ascorbyl-2-Polyphosphate (Source Of Vitamin C), DL-Alpha Tocopherol Acetate (Source Of Vitamin E), Thiamine Mononitrate (Vitamin B1), Biotin, Niacin Supplement, D-Calcium Pantothenate, Riboflavin Supplement, Pyridoxine Hydrochloride (Vitamin B6), Vitamin B12 Supplement, Folic Acid, Vitamin D3 Supplement], Salt, Choline Chloride, Sodium Carbonate, Magnesium Oxide, Marigold Extract (Tagetes Erecta L.), Trace Minerals [Zinc Oxide, Ferrous Sulfate, Zinc Proteinate, Copper Sulfate, Manganous Oxide, Sodium Selenite, Calcium Iodate], Carotene","https://www.petsmart.com/dw/shop/v18_8/products/5306085?client_id=11d422c1-e017-4692-8ade-c0d36191da29&expand=prices,variations,availability,promotions,options",4.75,8,,,,Puppy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.39,3.39,3.39,,,,,,,,,,,,
Royal Canin Veterinary Diet Puppy Gastrointestinal Dry Dog Food,Other,,,,N/A,Crude Protein (min.) 27.0%  Crude Fat (min.) 20.0%  Crude Fiber (max.) 3.6% Moisture (max.) 10.0%  Eicosapentaenoic + Docosahexaenoic acid (EPA + DHA)(min.) 0.2%  Calcium (min.) 1.08%  Potassium (min.) 0.6%  Sodium (min.) 0.4%  Vitamin E (min.) 350 IU/kg  Ascorbic acid* (min.) 320 mg/kg *Not recognized as an essential nutrient by the AAFCO Dog Food Nutrient Profiles.,"https://www.petsmart.com/dw/shop/v18_8/products/5158537?client_id=11d422c1-e017-4692-8ade-c0d36191da29&expand=prices,variations,availability,promotions,options",4.6512,43,,,,Puppy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.99,56.99,56.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
