Product,Flavor,14 LB_offer_price,14 LB_recommended_price,25 LB_offer_price,25 LB_recommended_price,5 LBS_offer_price,5 LBS_recommended_price,40 LBS_offer_price,40 LBS_recommended_price,Grain_Free,Life_Stage,URL,Rating,Reviews,25 LBS_offer_price,25 LBS_recommended_price,13 LBS_offer_price,13 LBS_recommended_price,4.5 LBS_offer_price,4.5 LBS_recommended_price,35 LBS_offer_price,35 LBS_recommended_price,6 LBS_offer_price,6 LBS_recommended_price,18 LBS_offer_price,18 LBS_recommended_price,47 LBS_offer_price,47 LBS_recommended_price,30 LBS_offer_price,30 LBS_recommended_price,15 LBS_offer_price,15 LBS_recommended_price,4 LBS_offer_price,4 LBS_recommended_price,28.5 LBS_offer_price,28.5 LBS_recommended_price,15.5 LBS_offer_price,15.5 LBS_recommended_price,45 LBS_offer_price,45 LBS_recommended_price,14 LBS_offer_price,14 LBS_recommended_price,16 LBS_offer_price,16 LBS_recommended_price,41 LBS_offer_price,41 LBS_recommended_price,37.5 LBS_offer_price,37.5 LBS_recommended_price,50 LBS_offer_price,50 LBS_recommended_price,12 LBS_offer_price,12 LBS_recommended_price,24 LBS_offer_price,24 LBS_recommended_price,28 LBS_offer_price,28 LBS_recommended_price,2.5 LBS_offer_price,2.5 LBS_recommended_price,34 LBS_offer_price,34 LBS_recommended_price,26 LBS_offer_price,26 LBS_recommended_price,33 LBS_offer_price,33 LBS_recommended_price,44 LBS_offer_price,44 LBS_recommended_price,22.5 LBS_offer_price,22.5 LBS_recommended_price,11.5 LBS_offer_price,11.5 LBS_recommended_price,22 LBS_offer_price,22 LBS_recommended_price,11 LBS_offer_price,11 LBS_recommended_price,20 LBS_offer_price,20 LBS_recommended_price,1 LBS_offer_price,1 LBS_recommended_price,21.5 LBS_offer_price,21.5 LBS_recommended_price,3.5 LBS_offer_price,3.5 LBS_recommended_price,10 LBS_offer_price,10 LBS_recommended_price,17 LBS_offer_price,17 LBS_recommended_price,7 LBS_offer_price,7 LBS_recommended_price,21 LBS_offer_price,21 LBS_recommended_price,31.1 LBS_offer_price,31.1 LBS_recommended_price,8 LBS_offer_price,8 LBS_recommended_price,2 OZ_offer_price,2 OZ_recommended_price,25 OZ_offer_price,25 OZ_recommended_price,9.5 OZ_offer_price,9.5 OZ_recommended_price,37 LBS_offer_price,37 LBS_recommended_price,4 LB_offer_price,4 LB_recommended_price,18 LB_offer_price,18 LB_recommended_price,12.5 LBS_offer_price,12.5 LBS_recommended_price,38.5 LBS_offer_price,38.5 LBS_recommended_price,48.4 LBS_offer_price,48.4 LBS_recommended_price,3 LBS_offer_price,3 LBS_recommended_price,19 LBS_offer_price,19 LBS_recommended_price,24 LB_offer_price,24 LB_recommended_price,8.5 LBS_offer_price,8.5 LBS_recommended_price,27.5 LBS_offer_price,27.5 LBS_recommended_price,17.6 LBS_offer_price,17.6 LBS_recommended_price,30.6 LBS_offer_price,30.6 LBS_recommended_price,1.75 LBS_offer_price,1.75 LBS_recommended_price,5.5 LBS_offer_price,5.5 LBS_recommended_price,7.7 LBS_offer_price,7.7 LBS_recommended_price,25.3 LBS_offer_price,25.3 LBS_recommended_price,28.6 LBS_offer_price,28.6 LBS_recommended_price,6.6 LBS_offer_price,6.6 LBS_recommended_price,1.5 LBS_offer_price,1.5 LBS_recommended_price,1 LB_offer_price,1 LB_recommended_price,13.5 LBS_offer_price,13.5 LBS_recommended_price,27 LBS_offer_price,27 LBS_recommended_price,27.5 LB_offer_price,27.5 LB_recommended_price,7.4 LBS_offer_price,7.4 LBS_recommended_price,36 LBS_offer_price,36 LBS_recommended_price,20 LB_offer_price,20 LB_recommended_price
wholehearted-grain-free-small-breed-beef-and-pea-recipe-adult-dry-dog-food-25-lbs-2919678,Beef,,,,,$12.99,$12.99,,,Yes,Adult,https://www.petco.com/shop/en/petcostore/product/wholehearted-grain-free-small-breed-beef-and-pea-recipe-adult-dry-dog-food-25-lbs-2919678,4.7659,393,$42.99,$42.99,,,,,,,,,,,,,,,,,,,,,,,,,$34.99,$34.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natural-balance-lid-limited-ingredient-diets-duck-and-potato-formula-small-breed-bites-dry-dog-food-12-lbs-3168925,Duck,,,,,,,,,No,Adult,https://www.petco.com/shop/en/petcostore/product/natural-balance-lid-limited-ingredient-diets-duck-and-potato-formula-small-breed-bites-dry-dog-food-12-lbs-3168925,4.7458,59,,,,,,,,,,,,,,,,,,,$27.98,$27.99,,,,,,,,,,,,,,,,,$52.98,$52.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orijen-amazing-grains-reg-red-high-protein-dry-puppy-food-225-lbs-3526032,Beef,,,,,,,,,No,All Lifestages,https://www.petco.com/shop/en/petcostore/product/orijen-amazing-grains-reg-red-high-protein-dry-puppy-food-225-lbs-3526032,4.7961,103,,,,,,,,,,,,,,,,,,,$30.99,$30.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$121.99,$121.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orijen-amazing-grains-original-high-protein-dry-puppy-food-225-lbs-3526041,Chicken,,,,,,,,,No,All Lifestages,https://www.petco.com/shop/en/petcostore/product/orijen-amazing-grains-original-high-protein-dry-puppy-food-225-lbs-3526041,4.6887,151,,,,,,,,,,,,,,,,,,,$25.99,$25.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$96.48,$96.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orijen-small-breed-dry-dog-food-4-lbs-3167105,Turkey,,,,,,,,,Yes,All Lifestages,https://www.petco.com/shop/en/petcostore/product/orijen-small-breed-dry-dog-food-4-lbs-3167105,4.7043,257,,,,,,,,,,,,,,,,,,,$25.99,$25.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$51.89,$52.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wholehearted-grain-free-small-breed-beef-and-pea-recipe-dry-puppy-food-5-lbs-2905663,Beef,,,,,$12.99,$12.99,,,Yes,Puppy,https://www.petco.com/shop/en/petcostore/product/wholehearted-grain-free-small-breed-beef-and-pea-recipe-dry-puppy-food-5-lbs-2905663,4.7206,247,,,,,,,,,,,,,,,,,,,,,,,,,,,$34.99,$34.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blue-buffalo-basics-limited-ingredient-grain-free-salmon-and-potato-adult-dog-food-4-lbs-2393784,Salmon,,,,,,,,,Yes,Adult,https://www.petco.com/shop/en/petcostore/product/blue-buffalo-basics-limited-ingredient-grain-free-salmon-and-potato-adult-dog-food-4-lbs-2393784,4.7603,459,,,,,,,,,,,,,,,,,,,$22.98,$26.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$68.98,$75.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wellness-complete-health-whitefish-and-sweet-potato-adult-dog-food-15-lbs-1174193,Seafood,,,,,,,,,No,Adult,https://www.petco.com/shop/en/petcostore/product/wellness-complete-health-whitefish-and-sweet-potato-adult-dog-food-15-lbs-1174193,4.7229,249,,,,,,,,,,,,,,,$69.98,$72.99,$44.98,$46.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-honest-kitchen-whole-food-clusters-whole-grain-chicken-dry-dog-food-1-lb-3311437,Chicken,,,,,$24.49,$24.99,,,No,Adult,https://www.petco.com/shop/en/petcostore/product/the-honest-kitchen-whole-food-clusters-whole-grain-chicken-dry-dog-food-1-lb-3311437,4.7852,782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$79.99,$89.99,$6.84,$6.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
merrick-limited-ingredient-diet-salmon-and-brown-rice-recipe-dry-dog-food-4-lbs-3107954,Fish,,,,,,,,,No,Adult,https://www.petco.com/shop/en/petcostore/product/merrick-limited-ingredient-diet-salmon-and-brown-rice-recipe-dry-dog-food-4-lbs-3107954,4.3241,145,,,,,,,,,,,,,,,,,,,$24.99,$24.99,,,,,,,,,,,,,,,,,$49.99,$49.99,,,,,,,,,,,,,,,,,,,$72.98,$74.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hills-science-diet-perfect-digestion-chicken-brown-rice-and-whole-oats-recipe-adult-dry-dog-food-35-lbs-3224034,Chicken,,,,,,,,,No,Adult,https://www.petco.com/shop/en/petcostore/product/hills-science-diet-perfect-digestion-chicken-brown-rice-and-whole-oats-recipe-adult-dry-dog-food-35-lbs-3224034,4.6017,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$48.99,$53.99,,,,,,,,,,,,,,,,,,,$79.99,$79.99,,,,,,,,,$21.49,$23.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natures-variety-instinct-raw-boost-grain-free-chicken-meal-dog-food-10-lbs-2695512,Chicken,,,,,,,,,Yes,All Lifestages,https://www.petco.com/shop/en/petcostore/product/natures-variety-instinct-raw-boost-grain-free-chicken-meal-dog-food-10-lbs-2695512,4.7363,622,,,,,,,,,,,,,,,,,,,$27.99,$27.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$47.99,$47.99,,,,,$79.99,$79.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pro-plan-sport-all-life-stages-performance-salmon-and-rice-dog-food-33-lbs-2267593,Fish,,,,,,,,,No,Adult,https://www.petco.com/shop/en/petcostore/product/pro-plan-sport-all-life-stages-performance-salmon-and-rice-dog-food-33-lbs-2267593,4.7584,298,,,,,,,,,$18.98,$21.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$65.98,$67.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hills-science-diet-large-breed-senior-dog-food-33-lbs-1592033,Chicken,,,,,,,,,No,Senior,https://www.petco.com/shop/en/petcostore/product/hills-science-diet-large-breed-senior-dog-food-33-lbs-1592033,4.8128,422,,,,,,,,,,,,,,,,,$38.99,$42.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$70.99,$70.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eukanuba-large-breed-senior-dog-food-30-lbs-2487537,,,,,,,,,,No,Senior,https://www.petco.com/shop/en/petcostore/product/eukanuba-large-breed-senior-dog-food-30-lbs-2487537,4.7398,196,,,,,,,,,,,,,,,$77.99,$84.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acana-singles-lamb-and-apple-recipe-dry-dog-food-45-lbs-3180730,Lamb,,,,,,,,,Yes,All Lifestages,https://www.petco.com/shop/en/petcostore/product/acana-singles-lamb-and-apple-recipe-dry-dog-food-45-lbs-3180730,4.7484,155,$89.99,$89.99,$54.99,$54.99,$28.99,$28.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
canidae-grain-free-pure-land-dog-dry-formula-with-fresh-bison-12-lbs-2896445,Bison,,,,,,,,,Yes,Adult,https://www.petco.com/shop/en/petcostore/product/canidae-grain-free-pure-land-dog-dry-formula-with-fresh-bison-12-lbs-2896445,4.8012,171,,,,,,,,,,,,,,,,,,,$24.64,$25.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$74.99,$74.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
canidae-beef-and-oatmeal-dry-dog-food-7-lbs-3162443,Beef,,,,,,,,,No,Adult,https://www.petco.com/shop/en/petcostore/product/canidae-beef-and-oatmeal-dry-dog-food-7-lbs-3162443,4.2683,41,$49.99,$54.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$19.99,$21.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wellness-core-adult-original-turkey-dog-food-12-lbs-1174070,Turkey,,,,,,,,,Yes,Adult,https://www.petco.com/shop/en/petcostore/product/wellness-core-adult-original-turkey-dog-food-12-lbs-1174070,4.6965,481,,,,,,,,,,,,,,,,,,,$20.98,$21.99,,,,,,,,,,,,,,,,,$47.98,$49.99,$77.98,$79.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orijen-puppy-dry-dog-food-25-lbs-2992154,Chicken,,,,,,,,,Yes,Puppy,https://www.petco.com/shop/en/petcostore/product/orijen-puppy-dry-dog-food-25-lbs-2992154,4.7595,553,$97.48,$99.99,$59.99,$59.99,$29.99,$29.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blue-buffalo-large-breed-wilderness-salmon-adult-dry-dog-food-24-lbs-2286250,Salmon,,,,,,,,,Yes,Adult,https://www.petco.com/shop/en/petcostore/product/blue-buffalo-large-breed-wilderness-salmon-adult-dry-dog-food-24-lbs-2286250,4.6957,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$67.98,$74.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
canidae-grain-free-pure-sky-adult-dog-food-12-lbs-2190004,Duck,,,,,,,,,Yes,Adult,https://www.petco.com/shop/en/petcostore/product/canidae-grain-free-pure-sky-adult-dog-food-12-lbs-2190004,4.7973,301,,,,,,,,,,,,,,,,,,,$19.99,$22.99,,,,,,,,,,,,,,,,,$42.99,$42.99,$74.99,$74.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-honest-kitchen-whole-food-clusters-small-breed-grain-free-chicken-dry-dog-food-1-lb-3311402,Chicken,,,,,,,,,Yes,All Lifestages,https://www.petco.com/shop/en/petcostore/product/the-honest-kitchen-whole-food-clusters-small-breed-grain-free-chicken-dry-dog-food-1-lb-3311402,4.8269,439,,,,,,,,,,,,,,,,,,,$29.39,$29.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$7.83,$7.83,,,,,$49.99,$54.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default-product-name-3008008,Beef,,,,,,,,,Yes,Puppy,https://www.petco.com/shop/en/petcostore/product/default-product-name-3008008,4.6435,115,$49.99,$49.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
royal-canin-chihuahua-adult-dog-food-25-lbs-1523279,Original,,,,,,,,,No,Adult,https://www.petco.com/shop/en/petcostore/product/royal-canin-chihuahua-adult-dog-food-25-lbs-1523279,4.891,835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$22.99,$26.99,,,,,,,,,,,,,,,,,,,,,,,,,$56.99,$63.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blue-buffalo-basics-limited-ingredient-grain-free-duck-and-potato-dog-food-4-lbs-2295156,Duck,,,,,,,,,Yes,Adult,https://www.petco.com/shop/en/petcostore/product/blue-buffalo-basics-limited-ingredient-grain-free-duck-and-potato-dog-food-4-lbs-2295156,4.7364,110,,,,,,,,,,,,,,,,,,,$26.99,$26.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$68.98,$75.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natural-balance-lid-limited-ingredient-diets-lamb-and-brown-rice-formula-dry-puppy-food-24-lbs-3131276,Lamb,,,,,,,,,No,Puppy,https://www.petco.com/shop/en/petcostore/product/natural-balance-lid-limited-ingredient-diets-lamb-and-brown-rice-formula-dry-puppy-food-24-lbs-3131276,4.5333,60,,,,,,,,,,,,,,,,,,,$24.98,$24.98,,,,,,,,,,,,,,,,,$47.98,$47.98,$72.98,$72.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
purina-one-smartblend-lamb-and-rice-formula-natural-dry-dog-food-40-lbs-3510399,Lamb,,,,,,,$52.99,$58.99,No,Adult,https://www.petco.com/shop/en/petcostore/product/purina-one-smartblend-lamb-and-rice-formula-natural-dry-dog-food-40-lbs-3510399,4.7379,782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$43.28,$47.99,$15.19,$18.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
royal-canin-breed-health-nutrition-bulldog-adult-dog-food-30-lbs-1293036,Original,,,,,,,,,No,Adult,https://www.petco.com/shop/en/petcostore/product/royal-canin-breed-health-nutrition-bulldog-adult-dog-food-30-lbs-1293036,4.8511,752,,,,,,,,,,,,,,,$104.99,$113.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$69.99,$78.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
merrick-lilplates-grain-free-real-beef--sweet-potato-recipe-2511470,Beef,,,,,,,,,Yes,Adult,https://www.petco.com/shop/en/petcostore/product/merrick-lilplates-grain-free-real-beef--sweet-potato-recipe-2511470,4.7244,127,,,,,,,,,,,,,,,,,,,$24.99,$25.99,,,,,,,,,,,,,,,,,$49.98,$51.99,,,,,,,,,,,,,,,,,,,,,,,$67.98,$69.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wellness-complete-health-deboned-chicken-and-brown-rice-large-breed-adult-dog-food-15-lbs-1174010,Chicken,,,,,,,,,No,Adult,https://www.petco.com/shop/en/petcostore/product/wellness-complete-health-deboned-chicken-and-brown-rice-large-breed-adult-dog-food-15-lbs-1174010,4.6215,177,,,,,,,,,,,,,,,$69.98,$72.99,$44.98,$46.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
merrick-grain-free-healthy-weight-beef-recipe-dry-dog-food-22-lbs-3116869,Beef,,,,,,,,,Yes,Adult,https://www.petco.com/shop/en/petcostore/product/merrick-grain-free-healthy-weight-beef-recipe-dry-dog-food-22-lbs-3116869,4.7525,509,,,,,,,,,,,,,,,,,,,$22.98,$23.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$69.98,$74.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hills-science-diet-healthy-development-small-bites-puppy-food-45-lbs-1213032,Chicken,,,,,,,,,No,Puppy,https://www.petco.com/shop/en/petcostore/product/hills-science-diet-healthy-development-small-bites-puppy-food-45-lbs-1213032,4.741,502,,,,,$16.99,$18.99,,,,,,,,,,,,,,,,,$38.99,$42.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
merrick-grain-free-chicken-sweet-potato-recipe-dry-dog-food-10-lbs-3112391,Chicken,,,,,,,,,Yes,Adult,https://www.petco.com/shop/en/petcostore/product/merrick-grain-free-chicken-sweet-potato-recipe-dry-dog-food-10-lbs-3112391,4.6884,398,,,,,,,,,,,,,,,$84.98,$84.99,,,$22.98,$23.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$69.98,$69.99,,,,,,,,,,,$47.98,$47.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acana-freshwater-fish-dry-dog-food-45-lbs-2993974,Fish,,,,,,,,,Yes,All Lifestages,https://www.petco.com/shop/en/petcostore/product/acana-freshwater-fish-dry-dog-food-45-lbs-2993974,4.801,191,$76.99,$76.99,$46.99,$46.99,$22.99,$22.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default-product-name-2992226,Chicken,,,,,,,,,Yes,Puppy,https://www.petco.com/shop/en/petcostore/product/default-product-name-2992226,4.7775,400,$94.40,$99.99,$59.48,$59.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blue-buffalo-large-breed-chicken-and-brown-rice-adult-dog-food-30-lbs-1055631,Chicken,,,,,,,,,No,Adult,https://www.petco.com/shop/en/petcostore/product/blue-buffalo-large-breed-chicken-and-brown-rice-adult-dog-food-30-lbs-1055631,4.7282,813,,,,,,,,,,,,,,,$63.98,$72.99,$38.98,$44.99,,,,,,,,,,,,,,,,,,,,,,,,,,,$71.98,$71.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default-product-name-2982651,Chicken,,,,,,,,,Yes,Adult,https://www.petco.com/shop/en/petcostore/product/default-product-name-2982651,4.814,43,,,,,,,,,,,$79.99,$79.99,,,,,,,$29.99,$29.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hills-bioactive-recipe-thrive-vigor-chicken-and-brown-rice-adult-dry-dog-food-35-lbs-2890473,Chicken,,,,,,,,,No,Senior,https://www.petco.com/shop/en/petcostore/product/hills-bioactive-recipe-thrive-vigor-chicken-and-brown-rice-adult-dry-dog-food-35-lbs-2890473,4.6303,468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$48.39,$48.39,,,,,$84.69,$84.69,$19.99,$19.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blue-buffalo-wilderness-rocky-mountain-recipe-with-red-meat-dry-puppy-food-22-lbs-2286276,Beef,,,,,,,,,Yes,Puppy,https://www.petco.com/shop/en/petcostore/product/blue-buffalo-wilderness-rocky-mountain-recipe-with-red-meat-dry-puppy-food-22-lbs-2286276,4.7466,296,,,,,,,,,,,,,,,,,,,$21.98,$26.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$67.98,$74.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acana-free-run-poultry-dry-dog-food-45-lbs-2993931,Chicken,,,,,,,,,Yes,All Lifestages,https://www.petco.com/shop/en/petcostore/product/acana-free-run-poultry-dry-dog-food-45-lbs-2993931,4.7751,249,$69.99,$69.99,$39.99,$39.99,$19.99,$19.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blue-buffalo-lamb-and-brown-rice-adult-dog-food-6-lbs-1055704,Lamb,,,,,$16.98,$24.99,,,No,Adult,https://www.petco.com/shop/en/petcostore/product/blue-buffalo-lamb-and-brown-rice-adult-dog-food-6-lbs-1055704,4.7195,663,,,,,,,,,$23.99,$23.99,,,,,$61.34,$72.99,$38.98,$44.99,,,,,,,,,,,,,,,,,,,,,,,,,,,$71.98,$71.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
